State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Below_Primary_Education,Households_with_Internet,Housholds_with_Electric_Lighting,Urban_Households,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Ownership_Owned_Households,Main_source_of_drinking_water_Un_covered_well_Households,Location_of_drinking_water_source_Away_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_3_to_5_persons_Households,Total_Power_Parity,sex_ratio,literacy_rate
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,147743,5200,314547,125402,51443,11104,300223,16224,130909,11289,178262,2672,99.98,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,191641,8791,363835,201662,128087,20781,315329,79835,52450,2161,269559,3119,99.76,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,270373,7971,562769,204799,116539,14929,532693,5715,122399,360,407282,4067,98.36,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,142493,9070,224814,115572,83810,21349,220662,166257,27194,1072,136103,2100,109.45,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,133039,28842,507913,392117,274392,42404,496464,179060,59658,5108,368315,3368,110.02,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,212263,88737,771287,804997,499291,135307,689970,218410,38103,372,568385,6274,102.67,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,79149,8250,244844,20823,54626,21976,222531,90049,75292,2746,192158,1374,100.61,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,204713,32653,511167,566191,115356,44108,507341,397151,39088,181,330674,4432,113.55,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,115476,10378,237670,166164,74092,19438,240351,157785,31854,505,157758,1988,107.98,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,172247,31542,630767,401415,263148,58867,597009,331377,30236,249,466519,3910,111.34,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,117681,37849,464039,196194,187213,73096,434540,177265,58162,730,330354,3071,103.92,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,247996,36791,641660,666543,145558,54277,638772,396233,55550,328,444561,4594,109.82,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,415601,27909,730119,522586,139994,59145,719609,508118,50719,509,425449,4838,109.81,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,249198,27162,587583,228442,178386,43458,575878,257588,53441,2587,394623,3929,106.69,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,206328,71621,783872,609824,343590,96456,727418,367952,47323,536,568815,5770,108.73,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,222627,56148,721625,715119,338350,84016,683102,328453,34523,190,499304,5612,110.78,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,65326,4712,149864,11805,23028,13027,166448,109208,29882,541,125105,1095,103.5,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,113208,1290,81338,60325,23388,2895,146164,58087,53187,2384,90782,787,97.63,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,443837,401234,469109,148647,619,84720,37135,15886,2373,162759,29938,55282,494,85945,861,90.4,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,290699,1712,277927,70793,27283,4045,366925,131251,119056,1380,230275,1709,102.06,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,157337,1158,181139,48912,30115,3102,224957,24931,67109,7002,102717,1336,98.17,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,239114,2109,230974,87704,45270,5740,284681,62320,96819,1444,178031,1845,97.11,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,202629,1166,107819,88385,32268,4463,288622,30350,77185,41,126610,1786,83.74,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,229082,40788,452912,581826,281442,60383,357177,12209,81968,514,282108,4298,91.81,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,107547,986,112420,62861,40478,2142,124087,12474,28000,2583,72437,989,95.07,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,270951,1880,176056,95048,36506,6206,354948,138505,137637,951,169728,1947,88.26,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,284113,3588,344875,140802,73284,8235,376356,97835,134349,2922,244209,2513,96.43,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,197917,1432,187731,66514,23270,3031,283661,90846,133080,11217,168849,1359,91.01,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,132176,616,97696,43401,17555,2897,153252,23591,42499,204,82921,951,87.25,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,242508,3518,270457,101014,59521,9017,278354,37736,83175,959,160739,1899,94.16,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,262090,2388,349639,103364,75637,8080,378227,55563,158954,7340,209444,2470,96.44,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,103002,554,62372,9774,4576,1291,162879,54204,87072,4165,96460,652,100.2,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,197902,2482,144248,72320,34184,5968,224082,45758,77332,1667,119065,1302,91.19,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,235648,15779,306859,272172,165061,21313,316586,13890,61468,517,188922,2830,86.37,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,90059,986,95066,31845,22174,3556,99039,19236,26483,887,56810,619,93.48,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,159703,2871,198076,105746,61415,7335,217340,33257,42102,809,137955,1535,91.35,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,428413,48691,593576,587947,417170,64865,457287,8609,111910,590,347858,5783,92.79,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,267932,20443,452023,352477,192581,26487,434882,24053,114859,2047,309266,3776,92.85,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,98308,744,125411,24713,16683,2215,197972,26754,88904,5220,88532,1612,99.03,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,198447,2179,172416,72880,38086,3958,268593,42084,81858,946,158431,1476,95.17,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,156711,912,143803,37258,18413,2246,232935,79381,118527,5528,147190,1043,100.83,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,244891,2324,239885,81832,47723,5435,261639,94468,94307,119,158569,1475,96.3,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,288979,1781,131486,95288,45113,5829,346829,30360,76634,588,166295,1924,84.01,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,137656,1945,145258,67962,34666,4498,157683,43496,51390,78,97561,1026,95.45,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,171707,653,76097,32179,13285,2219,226597,68429,88998,6923,119049,1034,90.55,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,237981,1141,194373,74441,34499,6017,248660,28122,87256,945,143773,1460,90.13,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,239738,1611,231130,69823,30688,4185,324899,115278,156011,1199,182265,1629,95.62,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,224715,3644,213825,107151,67830,5757,265828,39812,101787,3313,154724,1700,97.1,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,344362,3406,251132,94489,45180,11833,524701,91054,197095,2050,266104,2756,93.05,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,347752,4546,366494,165507,68482,11291,466797,150692,160286,1492,272006,2771,89.33,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,338947,3754,294702,114173,55196,9401,455270,69812,142270,1046,242126,2641,92.57,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,193885,1566,212138,59220,30868,6041,235670,45152,55177,1371,126997,1442,91.79,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,223650,1182,228695,47542,26893,4048,284384,87938,109496,1290,180853,1369,98.19,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,161972,1733,113184,57846,24255,3819,232450,94914,65731,1849,132438,1302,97.41,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,271215,1382,232735,73997,32204,4200,281671,68173,117832,447,152577,1647,93.8,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,90911,273,74770,26376,11701,1634,138428,10239,48714,1562,72633,693,90.13,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,261087,1852,148128,66759,35706,5417,341253,99670,137164,566,177114,1827,87.66,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,185550,837,102228,25916,9569,3320,231540,64000,90105,2641,109754,3019,95.7,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,202448,1090,132725,60220,21489,4139,292003,118683,132858,66,152296,1591,90.06,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,286534,7501,323379,188684,123526,12167,338261,38135,112781,414,203426,2599,95.5,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,90791,839,67975,29966,12713,1873,134416,52657,42395,1837,76556,692,94.98,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,242021,1926,181510,83830,41617,5682,275519,37354,69081,771,149467,1583,89.57,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,231841,6163,314490,196077,107463,9037,339748,27953,72003,1494,234221,3948,94.56,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,326195,9438,512492,272894,175917,15285,569476,43570,82305,517,398987,6236,95.06,78.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,559512,2362,44456,49006,24106,7145,377134,12987,38179,221,137515,2215,92.62,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,381695,23258,589477,427343,246324,33322,580691,136042,116410,1840,415993,8119,92.33,68.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,115150,2932,227025,72575,55948,5184,243836,53482,56000,333,180328,2237,98.23,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,309704,5614,402052,135457,82098,12836,492304,104531,122888,3311,296136,4179,91.61,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,315408,4767,423036,152787,103898,10034,496630,113493,127173,1216,321880,4421,93.36,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,243773,8239,418666,233331,172661,12746,440367,93300,118279,1009,352330,5085,96.14,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,200494,6065,315332,146013,126138,10912,344482,22861,36121,753,217726,3583,94.57,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,138457,2866,239981,66813,38044,5074,266154,76525,61648,79,178543,2183,99.91,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,175736,1221,159114,41913,27700,3833,209663,43819,57492,645,120315,1853,94.19,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,482462,14297,720791,373565,350029,19560,724904,32746,78982,1439,512687,7988,92.5,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,271061,3791,288895,98084,60219,8400,348751,98790,99928,1471,205666,3363,93.68,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,321457,22269,770005,382818,340318,49081,699588,33730,48936,2727,502014,8464,95.69,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,268627,6217,381722,157016,96018,13150,421140,47969,84717,647,257585,4574,92.77,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,325084,57964,917626,877522,599780,71592,770480,76380,79272,284,647880,14073,95.12,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,416869,7548,488748,230563,116284,12341,579750,92893,167950,1558,365093,6214,94.29,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,166664,2579,186202,71572,54335,6135,292483,16755,50913,6832,163042,2446,97.83,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,544346,45039,904710,764271,536781,79590,934281,278657,150754,5860,662495,13629,93.44,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,183972,3209,240042,77832,49180,7974,316237,29560,66841,929,190464,2786,92.4,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,229217,3982,272486,133759,59272,6973,325984,45702,80436,2418,189010,3410,94.73,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,559840,235018,1925019,2056739,1410448,273326,1382496,168164,133498,6905,1286031,27223,91.49,76.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,246480,3342,297308,66638,27771,5979,331942,29740,83047,2129,200941,1575,99.12,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,231263,38570,547206,377160,328277,43536,463109,61663,73768,4337,362797,6097,95.95,74.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,163025,7752,367352,100824,100860,15191,346267,76316,64348,4400,212475,3484,112.2,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,208511,13212,485126,226801,227034,29515,498771,74738,65893,2577,331678,5798,96.57,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,288427,14093,562653,200949,271186,36046,550485,57989,54823,1780,359607,5649,98.81,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,86480,3517,194228,44989,42540,9264,181960,97574,31664,677,114147,1749,103.59,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,390337,15145,595560,376302,248255,28219,723697,140885,125356,7892,469237,8995,93.81,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,712171,256170,2231800,2904157,1610460,172210,1758319,168043,192508,8846,1535929,35118,88.58,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,140470,4313,266155,120218,114029,6970,263170,43788,35608,244,201617,2754,94.61,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,166509,1875,196022,55921,36840,3623,240347,87105,83047,255,151658,1942,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,391944,6094,446516,168889,134500,12132,575266,159344,174880,2278,403805,4937,95.24,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,15941,676,34364,21172,11393,2009,43516,245,18932,2332,24938,226,99.86,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,17382,184,18764,3783,1424,908,27448,2150,14509,8700,15386,250,93.33,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,32860,837,29894,4853,13371,1807,42769,5334,15364,7192,22736,327,97.48,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,46757,256,22798,1826,2430,827,33051,2708,9067,3547,16797,823,93.73,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,11155,125,11541,4119,1229,495,23804,1827,9740,2385,11219,90,94.35,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,32396,880,49507,38302,15994,3141,83390,1242,35984,24067,49873,539,100.23,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,20670,276,14026,5806,1659,1107,32455,1525,11755,557,15806,79,94.26,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,51578,288,24550,11518,1839,1167,54960,22324,13435,876,26346,450,97.19,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,118135,5032,135941,108843,41496,15048,93999,9885,38742,2733,76900,1456,101.08,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,67749,510,41677,7171,7150,4790,57268,9355,26582,1416,23935,528,101.3,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,25906,179,10940,3713,482,695,22964,2859,10414,2404,9858,139,94.53,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,85733,1630,51301,18594,10006,3589,113504,36282,42348,3088,58500,791,98.45,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,80318,149,32873,12299,476,1683,59459,12147,26071,1847,24288,479,97.95,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,29332,4019,79804,80341,64710,9581,40704,1798,11195,1062,43041,963,100.89,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,14491,186,23948,12717,9115,1237,19196,839,6854,343,12517,187,98.37,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,11367,367,14853,12507,8787,867,11439,720,3248,1581,8927,142,95.62,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,19890,162,9283,5273,5213,631,19088,722,10250,7462,11321,242,94.55,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,22181,482,26394,17315,14037,1982,24286,409,7341,3404,16569,274,94.75,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,9328,90,12158,4129,4010,565,13786,508,4368,2369,8670,94,92.66,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,8422,168,7400,5784,4783,507,7767,921,3834,633,4996,88,97.85,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,8771,131,12315,8018,5511,702,9272,142,1949,186,5948,118,97.67,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,34539,3303,71413,62853,42378,10008,36263,27068,7626,1033,40012,866,91.91,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,21654,1928,50724,44255,20712,8428,30993,7386,16008,642,22915,677,92.84,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,159494,20259,537,40154,17742,7236,3805,31404,4046,10763,1162,21336,346,92.52,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,119626,37431,178,14398,7415,1080,1007,36498,8701,14617,1610,13754,381,89.95,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,105893,22494,170,36182,7295,2073,1780,30943,1364,7420,119,16854,219,95.14,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,117511,29602,155,24998,9451,773,1063,33861,5921,12540,296,15138,228,92.87,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,128208,15865,198,25268,8170,3228,1592,28312,10151,16317,1542,13080,359,96.84,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,102881,16523,261,28846,6044,1433,2258,25713,3079,9239,110,12086,275,97.65,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,1621232,342192,7370,296834,82440,36478,8591,502635,12110,158129,3098,332079,2664,95.7,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,1094140,210736,2637,164636,54244,15864,3670,296688,3606,93597,846,172525,1711,98.13,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,2011469,289414,15046,349587,210768,103177,15494,494043,113881,140767,4366,358552,3852,94.01,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,829910,188872,1810,117172,36979,19846,3533,263641,136741,127786,9934,176751,1334,94.72,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,262537,68405,635,63112,23050,12035,656,119272,38840,47598,3098,69329,617,104.26,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,2210050,518072,9049,405298,219918,120191,9066,672524,182877,255386,17577,429102,4377,98.35,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,405879,69122,2498,81433,73962,18950,3966,107762,27417,42897,435,81687,870,95.32,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,802036,213426,1953,91171,38412,17610,3547,382053,27010,161883,10592,238726,1562,100.34,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,399786,108606,768,28736,24489,6938,1278,156795,72948,82502,4276,92241,739,103.67,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,1089265,218444,1628,173107,23494,15879,2686,318778,19468,130226,2531,196212,1540,100.66,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,1749936,276378,35701,349860,356895,160277,33514,361364,139440,109546,1916,306708,4186,92.92,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,568090,158847,3988,85766,78339,39631,6922,294487,34361,119374,7286,183550,1519,103.25,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,244706,60913,448,24604,15839,4738,820,128850,5834,50855,1826,76786,564,101.96,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,1369397,283489,2950,140189,64479,29031,6279,559038,203853,254494,14014,341257,2747,100.58,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,688362,174904,1163,124984,26688,11159,2270,219723,74303,71861,3326,151006,984,91.55,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,299383,64389,757,43976,11869,6414,1346,152129,11382,61742,5110,94057,205,102.14,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,1291939,251520,3416,201605,72210,33331,4693,343935,25719,126862,9700,231885,2027,96.3,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,407735,84956,1553,61543,49205,24924,2090,201492,12832,74441,4451,124357,1074,105.08,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,133005,5231,126498,94798,33612,5946,212516,39884,75332,3968,152584,1548,97.6,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,208100,12787,223537,230151,77581,14641,356607,83919,162829,5288,278223,3130,97.28,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,18943,1868,47880,33715,28366,2550,33788,81,1322,3,33606,4890,104.71,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,2948,574,7150,12110,3632,858,6569,5224,51,3,3559,10027,118.44,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,3804,207,12859,15519,10399,226,6947,1,298,2,9821,10027,103.75,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,197944,29961,461231,385476,279993,56185,430041,291,6683,255,276797,6979,88.91,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,117795,11284,255650,137563,118427,36173,235988,320,15026,1530,152743,3365,86.83,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,53734,4348,113549,58917,62103,15528,109071,81,11526,1163,67572,1540,89.03,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,51897,5138,113683,57337,64037,18239,101426,81,2399,75,65329,1640,87.09,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,196971,10042,349662,153868,141899,37105,344538,602,32378,3947,209891,4283,89.34,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,180897,14428,411216,185488,244468,32484,409745,1572,7052,347,247200,5982,89.53,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,143871,13747,319930,128592,201675,33720,303081,1721,13080,125,198627,4305,96.11,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,183441,39082,446200,377791,299449,72374,378807,280,9274,113,273097,6883,91.54,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,71698,9732,161206,95770,110555,23561,141816,85,4941,119,96950,2472,91.21,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,277247,58589,703624,641789,488757,120172,570487,559,11905,310,417697,10593,87.32,73.0
