State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Below_Primary_Education,Households_with_Internet,Housholds_with_Electric_Lighting,Urban_Households,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Ownership_Owned_Households,Main_source_of_drinking_water_Un_covered_well_Households,Location_of_drinking_water_source_Away_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_3_to_5_persons_Households,Total_Power_Parity,sex_ratio,literacy_rate
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,810191,4810,70001,51494,47300,11316,620927,31303,77755,458,285265,2930,89.48,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,80406,44283,231204,289456,168344,60494,112043,45,5182,12,144460,34145,81.77,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,183667,1782,157646,54894,22075,4227,287405,20384,109749,4833,161211,1529,102.32,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,35817,1574,79146,11987,17262,6573,75560,2143,9259,43,46905,3666,98.15,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,382091,8566,519704,188174,77727,13137,561313,67248,162050,3051,321189,2981,97.08,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,143128,1016,148926,41792,14568,3069,156006,14745,30830,212,92059,782,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,463598,16141,614109,349741,129193,28840,582952,24867,139609,971,375703,4209,98.79,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,120768,567,76783,20722,6628,2442,179774,44318,65994,1722,99333,856,100.51,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,178191,4544,202380,126055,43357,8677,232642,58597,70494,4649,153186,1565,96.87,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,143413,1667,80023,59763,25605,3402,124298,37447,45311,4006,81771,852,96.85,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,179770,961,212487,35774,13200,3546,241908,16604,65170,404,143728,964,101.72,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,246480,3342,297308,66638,27771,5979,331942,29740,83047,2129,200941,1575,99.12,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,231263,38570,547206,377160,328277,43536,463109,61663,73768,4337,362797,6097,95.95,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,618508,20261,728556,395001,166505,30572,739497,53362,205131,2863,462395,4561,98.41,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,364452,2737,253131,65167,29433,8096,492651,145838,191705,14757,270986,2462,97.79,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,8957,1316,49249,61073,25844,3163,14722,78,772,2,30398,34145,53.36,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,271762,6628,498326,287506,144561,17447,457405,37903,84440,336,276859,5549,95.33,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,40968,23440,173951,209230,132612,44342,145651,15156,8061,447,114062,2078,96.32,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,29874,17624,138810,162873,102191,35031,108881,7809,7453,628,90673,1646,98.64,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,761358,126341,1456046,1845383,965017,174812,1193694,17376,62436,2447,880951,18633,90.45,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,230474,2538,273331,116899,80378,10236,265928,10871,46800,1332,138082,2825,96.38,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,257524,9902,378310,208909,147122,19352,379759,9141,44677,188,231623,4372,92.49,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,366867,3424,396873,137424,84832,22723,515862,19449,95086,945,260512,4242,93.77,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,161675,10257,309091,181319,121542,21579,279792,8934,34474,2217,190910,3242,92.5,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,422461,7297,500757,356826,171327,17517,467094,27398,81285,1966,253095,5434,93.29,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,136131,12107,262539,195634,132683,26385,234873,155,11377,166,163534,6016,92.27,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,255785,11573,386538,299167,142974,20471,354786,25079,59245,826,225160,5028,93.87,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,271762,6628,498326,287506,144561,17447,457405,37903,84440,336,276859,5549,95.33,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,246956,9631,403294,250982,140067,28788,328271,10534,53492,848,229277,4146,90.78,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,295057,5710,372226,160547,99982,12788,429236,18115,70641,1194,244695,4252,93.96,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,260278,7759,385609,183738,180985,25163,371860,2485,23529,1257,232736,3648,92.62,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,76197,576,101940,22248,12997,2442,115602,1577,20016,2028,62416,979,96.06,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,145678,6726,267679,141417,114620,18669,262571,20273,36228,385,177608,3256,96.07,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,255905,3456,398937,104238,59096,9656,425072,91728,113188,4067,206091,3981,94.85,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,168990,2231,223424,102655,66310,7802,245138,5572,27510,1351,135333,2199,93.51,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,50588,1653,117040,87557,41686,4395,103353,15074,21248,129,71173,1463,95.01,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,383780,21785,747352,721532,362140,55289,644828,12904,62687,1540,446694,8498,92.69,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,214062,5262,438606,121509,99037,22379,450063,27599,80022,533,247442,3934,95.19,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,566242,55694,1252452,1529998,815423,106983,788508,12286,62145,402,788695,16368,78.75,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,234873,2975,302068,159810,77857,10088,306924,33588,68545,2405,166727,3227,93.01,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,43639,137,29794,7516,2029,991,46314,9763,19727,914,21667,325,100.57,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,396624,53606,798277,692971,411734,72630,771779,16732,94469,5373,502358,9753,93.41,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,165459,11020,329218,235981,137209,23938,297911,29603,69975,2848,208732,3316,92.25,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,89558,12899,199681,139891,121622,26122,183898,252,4947,32,120894,2781,88.47,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,186145,5292,266244,99235,88938,16793,293443,22116,60002,347,175604,3349,88.59,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,137902,43437,333171,382981,258422,63470,276186,188,34162,187,201457,5080,87.32,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,103541,3210,153301,55360,51693,14030,162708,228,13305,1970,99951,1854,90.17,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,126920,67087,305751,381988,238359,92934,211728,587,19329,264,189075,3107,85.44,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,197303,10132,285004,154113,110495,24642,295628,12798,53834,4199,188751,3642,87.21,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,514667,443738,676091,90737,5034,168558,78328,70149,14298,168223,5301,32772,173,105616,2169,86.22,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,136892,5263,222462,89665,78386,15836,227870,15600,50863,542,134056,2674,87.12,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,119345,3724,187349,75696,62668,12792,189832,1443,25152,354,111504,2046,88.14,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,155839,11163,267223,135920,143133,26238,258981,151,14402,84,161777,3368,88.71,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,94530,7356,171908,88268,90150,20261,162147,40,6569,17,104115,2137,88.79,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,94273,2624,135455,44216,45359,8538,162961,4493,32687,60,91491,1894,89.47,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,299679,261614,405318,45607,18615,103455,93656,69687,29497,78722,558,5755,318,65612,1445,87.3,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,118873,10024,209965,153804,121846,17466,182191,712,17950,208,123573,2559,86.35,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,81280,5121,152651,69305,62667,12161,156650,2055,18637,147,97233,1979,89.81,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,117097,8482,193120,131739,94633,16545,185204,8169,28372,1086,118044,2299,86.67,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,682582,612607,782897,141766,6287,215527,93316,70538,24468,219428,178,10272,3363,135060,2681,89.75,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,35817,1574,79146,11987,17262,6573,75560,2143,9259,43,46905,3666,98.15,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,382091,8566,519704,188174,77727,13137,561313,67248,162050,3051,321189,2981,97.08,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,56272,1615,96082,13836,21458,5074,94367,131,10664,371,52526,950,98.64,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,37327,2521,104120,15232,34978,6665,99538,1443,5748,22,64353,878,109.5,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,159593,1196,55929,55300,20175,3791,202503,9366,41867,255,88512,1291,86.05,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,127699,8053,330081,39007,148361,22727,314828,4712,30114,237,213017,2878,101.18,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,46249,37872,60699,9400,354,17865,0,10740,2775,13926,42,1700,174,9423,181,81.89,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,48384,2623,91322,20709,40064,8479,80610,568,10792,610,53737,854,94.23,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,498065,501712,723747,100052,5333,214491,31696,59324,15958,205510,1899,12631,455,130468,1842,100.73,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,69967,9177,172754,95896,108888,23107,126522,2187,20172,1134,102290,1668,91.51,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,57853,2220,91509,21054,28904,7459,83947,2064,17116,1297,47460,930,91.78,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,308754,271566,428578,50331,5250,119866,51509,53722,15117,86649,2249,12813,472,68774,1253,87.96,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,263692,257481,399715,51838,2412,105929,20126,43809,8059,101443,2205,8090,48,65541,987,97.64,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,43794,596,61831,11350,7963,1804,76189,2915,18262,978,40819,1103,91.88,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,135391,19905,294739,248043,197168,44063,274859,6884,22499,671,193158,3525,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,12732,235,15824,7774,3285,1847,16646,1,7031,2641,4991,214,81.01,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,69396,1443,109422,33473,32772,4687,114949,8616,29223,860,67133,936,89.03,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,36201,1537,73629,21703,16828,6164,80452,212,11028,8108,32942,1068,91.23,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,55762,346,62900,15269,13160,1731,87711,17702,38654,1351,44517,629,89.3,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,88911,16413,165403,257721,138119,34586,160923,38,2815,669,94928,3099,89.95,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,58567,1214,73999,34696,20008,3800,90329,9401,35086,1825,47101,1278,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,242467,9754,274726,258452,67157,21098,292464,126869,110155,12782,203702,3604,92.24,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,533935,508951,510061,200861,590,27037,14528,5307,2110,176487,79816,56936,2487,75131,817,95.32,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,775022,717051,793538,217460,1944,130193,64337,26760,3714,249689,99127,71071,3608,122204,1267,92.52,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,317918,11568,427173,405455,83995,18631,359496,119821,156059,5460,254604,3954,90.94,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,229157,1193,62110,23281,11836,2912,267228,71859,102988,3271,147147,1323,97.67,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,207665,565,29373,19180,6798,2671,250350,58397,91201,3129,117461,1017,93.51,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,503261,1944,125431,46886,16909,6290,381432,258543,122172,7536,156347,2384,94.38,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,677927,635624,604519,217607,874,43230,15576,7421,1754,245973,61679,79712,2965,123999,1057,93.76,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,136719,831,31687,16445,9108,2181,179247,121359,84762,1302,81595,849,99.31,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,404830,386212,426312,131150,808,49419,20113,5564,1632,145904,38510,47603,1405,76917,540,95.4,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,109491,340,38194,14137,2177,1268,127924,50470,52201,3848,58080,547,96.66,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,82873,351,28769,14725,8016,1102,87210,44537,33018,984,41588,388,98.51,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,100367,328,31414,16587,5316,923,175835,25425,54356,1716,93405,691,98.92,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,303053,2155,68238,52375,17270,8015,346286,86426,106592,4192,163115,1515,92.77,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,361522,22538,350908,310242,164237,34053,461581,213369,174928,6977,294024,3805,94.94,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,146399,591,34879,37543,11545,1285,217420,55900,62987,1584,112655,954,95.21,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,82317,423,16865,11114,3472,1158,111052,65409,48561,1071,55943,496,99.65,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,242336,3745,301389,165858,49345,9726,287059,12682,86279,9810,183541,2890,98.9,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,100770,3729,214253,95410,77454,10389,163974,775,42849,45,144124,1422,94.61,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,544564,17560,808827,356198,240742,35104,811672,124332,231175,24013,550977,7045,97.26,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,275785,9626,440374,251876,114040,14163,366781,4739,114873,5832,267798,3886,98.28,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,188998,3971,271439,102269,34924,9724,278386,42806,100961,584,150730,2448,95.63,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,25597,117,12516,7942,1022,305,47682,2888,21902,2696,25936,1387,98.37,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,246391,4987,326594,131041,58890,11722,338321,50159,139409,6429,202950,2938,95.98,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,114570,4510,238505,80766,74534,15446,216586,21964,35942,5006,182344,1996,100.83,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,188329,5711,307257,97644,60522,7425,298987,1341,76978,545,213641,2374,97.36,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,242130,7320,372671,176011,100812,15449,320621,3072,74855,4433,249307,3062,97.23,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,252596,15013,347962,283397,140584,21127,275419,2403,52813,2568,223035,3519,97.08,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,121615,3373,198064,111906,31959,5205,175742,4690,54924,1914,121985,1699,98.19,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,177860,9752,404767,199303,77334,12872,378218,46557,144128,6730,217746,5378,97.14,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,182255,4851,400702,132878,90599,14979,363138,9610,64031,1165,290412,2743,101.03,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,240925,2456,295937,98488,41517,5681,280133,834,69107,2445,195266,2240,95.04,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,51287,3308,113931,31792,40958,16963,93366,38445,17785,2943,89880,942,101.93,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,138015,5051,309494,151042,72407,9208,261316,3002,101786,76,200532,3389,97.89,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,222140,2135,223166,64681,31673,6211,212484,5231,73097,2060,131395,1889,98.58,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,145178,3367,391033,103435,80452,8188,370797,5650,57395,673,281659,2628,99.51,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,207091,28397,640868,380386,273706,40420,529209,7698,66647,3666,457208,4995,98.54,65.0
